zmid dn dneff
0.05 0.10728836059570312 0.1017952486872673
0.15000000000000002 0.6008148193359375 0.49737149477005005
0.25 1.233816146850586 0.9467781782150269
0.35000000000000003 2.5212764739990234 1.8897793292999268
0.45 3.35007905960083 2.331543445587158
0.55 3.735686779022217 2.4768309593200684
0.6500000000000001 3.982372283935547 2.517589569091797
0.75 3.8026962280273438 2.4013919830322266
0.8500000000000001 3.0223121643066406 1.8837785720825195
0.95 3.467479705810547 2.072869300842285
1.05 3.075946807861328 1.77520751953125
1.1500000000000001 2.9659957885742188 1.695180892944336
1.25 2.8640899658203125 1.6426315307617188
1.35 2.346515655517578 1.3743534088134766
1.4500000000000002 2.0702972412109375 1.20513916015625
1.55 1.8369865417480469 1.0461349487304688
1.6500000000000001 1.6573104858398438 0.9211635589599609
1.75 1.4025459289550781 0.7714099884033203
1.85 1.3489112854003906 0.7258052825927734
1.9500000000000002 1.1987342834472656 0.6931037902832031
2.05 0.9305610656738281 0.5250110626220703
2.1500000000000004 0.8554725646972656 0.5015525817871094
2.25 0.6945686340332031 0.41063690185546875
2.3500000000000005 0.5953445434570312 0.35463523864746094
2.45 0.4907569885253906 0.3002796173095703
2.55 0.450531005859375 0.26946067810058594
2.6500000000000004 0.4210319519042969 0.2525787353515625
2.75 0.35935211181640625 0.21650314331054688
2.8500000000000005 0.193084716796875 0.09636878967285156
2.95 0.1609039306640625 0.093505859375
3.05 0.14213180541992188 0.07968902587890625
3.1500000000000004 0.17967605590820312 0.10117721557617188
3.25 0.10995101928710938 0.058452606201171875
3.3500000000000005 0.0750885009765625 0.03409576416015625
3.45 0.09117889404296875 0.046146392822265625
3.55 0.064361572265625 0.030460357666015625
3.6500000000000004 0.10458755493164062 0.04535675048828125
3.75 0.056316375732421875 0.02423858642578125
3.8500000000000005 0.040225982666015625 0.020870208740234375
3.95 0.03754425048828125 0.02217864990234375
